creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Punch Brothers,Punch Brothers,The Phosphorescent Blues,Album,2015,Loved,20s,"{Folk},{Bluegrass}",https://open.spotify.com/album/3cdqpjwuTvDeLe3RYIGb0j?si=_xBljwLPTXyXBDCACyyRuw
Punch Brothers,Punch Brothers,All Ashore,Album,2018,Loved,20s,"{Folk},{Bluegrass}",https://open.spotify.com/album/2Jx5MfwDujgz2rFFDVocYl?si=9rEN_GAMQceDAiNeW8jLsQ
Punch Brothers,Punch Brothers,Who's Feeling Young Now?,Album,2012,Loved,20s,"{Folk},{Bluegrass}",https://open.spotify.com/album/6RknB2bw00sWWLJms0MiR3?si=d8H4vsi6R72-qKVyyCpuOQ
Punch Brothers,Punch Brothers,Antifogmatic,Album,2010,Loved,20s,"{Folk},{Bluegrass}",https://open.spotify.com/album/2C37EWVmuBXjXqxhGwJM5c?si=5_L91HKvRv-Eq8LHNPBTNA
Radiohead,Radiohead,In Rainbows,Album,2007,Loved,20s,"{Rock},{Alternative}",https://open.spotify.com/album/7eyQXxuf2nGj9d2367Gi5f?si=ITy3Dks0Tq2Lye7QjvCFbg
Run the Jewels,Run the Jewels,Run the Jewels,Album,2013,Loved,20s,{Rap},https://open.spotify.com/album/7BUlAwJBzKyllRuDTKV8Ae?si=4B6vJqfEQCOILHDKauXb0w
Run the Jewels,Run the Jewels,Run the Jewels 2,Album,2014,Loved,20s,{Rap},https://open.spotify.com/album/4Loc7NtCAo9mypHO6kbviD?si=9UW4axbXRkGh0TIkQLH-Kw
Steely Dan,Steely Dan,Aja,Album,1977,Loved,20s,{Rock},https://open.spotify.com/album/51XjnQQ9SR8VSEpxPO9vrW?si=ZYspSgLWSceLLmUHFV9lqg
Sufjan Stevens,Sufjan Stevens,Carrie & Lowell,Album,2015,Loved,20s,"{Folk},{Alternative}",https://open.spotify.com/album/0U8DeqqKDgIhIiWOdqiQXE?si=fGvmPvkXQHOr9QUTLfz3dg
Sufjan Stevens,Sufjan Stevens,Michigan,Album,2003,Loved,20s,"{Folk},{Alternative},{Indie}",https://open.spotify.com/album/4mIfqTE8DOnFRFWUQH02Og?si=K5mvYestSFKMZJH83CueEg
Tame Impala,Tame Impala,Currents,Album,2015,Loved,20s,"{Rock},{Alternative}",https://open.spotify.com/album/79dL7FLiJFOO0EoehUHQBv?si=dY8vZdZ9QCmk2JjcSOZ1tA
