title,year,format,status
The Lessons of History,2018,audio,read
The Personal MBA,2018,audio,read
The Ripple Effect,2018,paper,read
Zero to One,2018,paper,read
Atomic Habits,2019,paper,read
"Creativity, Inc.",2019,electronic,quit
Educated,2019,electronic,read
Full Catastrophe Living,2019,paper,skimmed
How to Take Smart Notes,2019,electronic,read
Impro,2019,electronic,skimmed
Intelligence,2019,electronic,read
Lonesome Dove,2019,paper,read
Red Notice,2019,electronic,quit
Siddhartha,2019,electronic,read
The Fifth Season,2019,paper,read
The Iliad (Fagles translation),2019,paper,sampled
The Path to Power,2019,paper,read
The Rookie,2019,paper,quit
Barbarian Days,2020,paper,quit
Clear and Simple as the Truth,2020,electronic,skimmed
Dead Man's Walk,2020,electronic,read
Exhalation: Stories,2020,paper,sampled
How to Read a Book,2020,paper,skimmed
Know My Name,2020,electronic,read
Le Ton beau de Marot,2020,paper,quit
Lolita,2020,paper,quit
Martin Dressler,2020,paper,read
Playing With Movement,2020,electronic,read
Shop Class as Soulcraft,2020,paper,read
Small Teaching,2020,electronic,skimmed
Sputnik Sweetheart,2020,paper,read
Teaching Tech Together,2020,electronic,sampled
Teaching What You Don't Know,2020,electronic,skimmed
The Death and Life of Great American Cities,2020,electronic,quit
The Economists' Diet,2020,electronic,read
The Formula: The Universal Laws of Success,2020,electronic,skimmed
The Machine Stops,2020,electronic,read
The Neapolitan Novels,2020,paper,read
The Pleasures of Reading in an Age of Distraction,2020,electronic,read
Thinking In Systems,2020,paper,skimmed
This Little Art,2020,electronic,quit
Ties,2020,paper,read
Wild Seed,2020,paper,read
Flask Web Development,2020,paper,read
All the Light We Cannot See,2021,audio,read
Bullshit Jobs,2021,audio,read
Debt,2021,audio,read
Flow,2021,electronic,read
Harry Potter 1-7,2021,audio,read
I'm Thinking of Ending Things,2021,electronic,read
Piranesi,2021,audio,read
The Alignment Problem,2021,audio,read
The Courage to Be Disliked,2021,paper,read
The Democracy Project,2021,audio,read
The Grapes of Wrath,2021,audio,read
The Martian,2021,paper,read
The Psychology of Money,2021,paper,skimmed
The Song of Achilles,2021,audio,read
The Three-Body Problem,2021,audio,read
The Wind in the Willows,2021,audio,read
Uncanny Valley,2021,audio,read
Circe,2021,audio,read
Working In Public,2021,audio,read
How to Avoid a Climate Disaster,2021,electronic,read
How Pleasure Works,2021,paper,skimmed
The Odyssey (Wilson translation),2021,audio,read
