title,year,format
The Psychology of Money,2021,paper
The Righteous Mind,2016,paper
The Road,2015,paper
The Rookie,2019,paper
The Sense of Style,2015,paper
The Signal and the Noise,2016,paper
The Song of Achilles,2021,audio
The Sword of Shannara,Before 2010,paper
The Theory That Would Not Die,2016,paper
The Three-Body Problem,2021,audio
The Wealthy Barber Returns,2016,paper
The Weel of Time 1-3,Before 2010,paper
The Wind In The Willows,2021,audio
The Wind On Fire Trilogy,Before 2010,paper
"Thinking, Fast and Slow",2015,electronic
Ties,2020,paper
To Kill a Mockingbird,Before 2010,paper
Twenty Thousand Leagues Under the Sea,Before 2010,paper
Uncanny Valley,2021,audio
Unweaving the Rainbow,2012,electronic
Waking Up,2016,paper
Walden,2012,electronic
When Breath Becomes Air,2016,paper
Why Does the World Exist?,2010,paper
Wild Seed,2020,paper
Ysabel,Before 2010,paper
Zero to One,2018,paper
