author_surname,author,title,publication_year,rating,period_of_my_life,genre,subgenres
Gilbert,Daniel Todd Gilbert,Stumbling on Happiness,2006,indifferent or forgotten,20s,Non-Fiction,Psychology
Gladwell,Malcolm Gladwell,Outliers,2008,liked,20s,Non-Fiction,Science
Gleick,James Gleick,Chaos,1987,indifferent or forgotten,20s,Non-Fiction,"History, Science"
Gleick,James Gleick,Isaac Newton,2003,loved,20s,Non-Fiction,"Biographies, Science"
Gleick,James Gleick,The Information,2011,loved,20s,Non-Fiction,"History, Science"
Golding,William Golding,Lord of the Flies,1954,loved,teens,Non-Fiction,Literature
Goldstein,Rebecca Goldstein,The Mind-Body Problem,1983,disliked,20s,Fiction,Literature
Goleman,Daniel Goleman,Altered Traits,2017,disliked,20s,Non-Fiction,"Psychology, Science"
Guin,Ursula K. Le Guin,A Wizard of Earthsea,1968,liked,20s,Fiction,Fantasy
Guin,Ursula K. Le Guin,The Ones Who Walk Away from Omelas,1973,liked,20s,Fiction,Science-Fiction
Guin,Ursula K. Le Guin,The Left Hand of Darkness,1969,liked,20s,Fiction,Science-Fiction
Haidt,Jonathan Haidt,The Righteous Mind,2012,loved,20s,Non-Fiction,Psychology
Haidt,Jonathan Haidt,The Happiness Hypothesis,2005,loved,20s,Non-Fiction,Psychology
Harari,Yuval Noah Harari,Sapiens,2011,disliked,20s,Non-Fiction,Philosophy
Harari,Yuval Noah Harari,Homo Deus,2017,disliked,20s,Non-Fiction,Philosophy
Hargrove,Todd Hargrove,Playing With Movement,n,liked,20s,Non-Fiction,"Self-Help, Exercise"
Harris,Judith Rich Harris,The Nurture Assumption,1998,liked,20s,Non-Fiction,Science
Harris,Sam Harris,Free Will,2012,loved,20s,Non-Fiction,Philosophy
Harris,Sam Harris,Waking Up,2014,loved,20s,Non-Fiction,"Philosophy, Religion"
Hawley,Noah Hawley,Before the Fall,2016,loved,20s,Fiction,Literature
Hemingway,Ernest Hemingway,The Old Man and the Sea,1952,indifferent or forgotten,teens,Fiction,Literature
Herbert,Frank Herbert,Dune,1965,indifferent or forgotten,teens,Fiction,Science-Fiction
Hesse,Hermann Hesse,Siddhartha,1922,liked,teens,Fiction,"Parables, Literature"
Hill,Lawrence Hill,The Book of Negroes,2007,liked,teens,Fiction,"Literature, Historical Fiction"
Hinton,S.E. Hinton,The Outsiders,1967,liked,teens,Fiction,Literature
Hofstadter,Douglas R. Hofstadter,"Gödel, Escher, Bach",1979,loved,20s,Non-Fiction,Philosophy
Holt,Jim Holt,Why Does the World Exist?,2011,liked,teens,Non-Fiction,Philosophy
Homer,Homer,The Iliad,-750,liked,teens,Fiction,Literature
Homer,Homer,The Odyssey,-700,liked,teens,Fiction,Literature
Irving,John Irving,A Prayer for Owen Meany,1989,loved,20s,Fiction,Literature
Ishiguro,Kazuo Ishiguro,Never Let Me Go,2005,disliked,20s,Fiction,Literature
Jacobs,Alan Jacobs,The Pleasures of Reading in an Age of Distraction,2011,liked,20s,Non-Fiction,"Philosophy, Self-Help"
Jemisin,N.K. Jemisin,The Fifth Season,2015,indifferent or forgotten,20s,Fiction,Fantasy
Johnstone,Keith Johnstone,Impro,1979,liked,20s,Non-Fiction,"Philsosophy, Self-Help"
Jones,Lloyd Jones,Mister Pip,2006,liked,20s,Fiction,Literature
Jordan,Robert Jordan,The Wheel of Time 1-3,1990,liked,teens,Fiction,Fantasy
Joyce,James Joyce,Dubliners,1914,liked,20s,Fiction,Literature
Kabat-Zinn,Jon Kabat-Zinn,Full Catastrophe Living,1990,indifferent or forgotten,20s,Non-Fiction,Philosophy
Kadare,Ismail Kadare,Broken April,1978,liked,teens,Fiction,Literature
Kafka,Franz Kafka,The Metamorphosis,1915,liked,20s,Fiction,Literature
Kahneman,Daniel Kahneman,"Thinking, Fast and Slow",2011,liked,20s,Non-Fiction,"Psychology, Science"
Kalanithi,Paul Kalanithi,When Breath Becomes Air,2016,disliked,20s,Non-Fiction,Memoirs
Kaufman,Josh Kaufman,The Personal MBA,2010,liked,20s,Non-Fiction,"Self-Help, Business"
Kay,Guy Gavriel Kay,The Fionavar Tapestry,1986,liked,teens,Fiction,Fantasy
Kay,Guy Gavriel Kay,Ysabel,2007,liked,teens,Fiction,Fantasy
Keyes,Daniel Keyes,Flowers for Algernon,1966,liked,20s,Fiction,Science-Fiction
King,Stephen King,On Writing,2000,loved,20s,Non-Fiction,"Memoirs, Writing"
Kleist,Heinrich von Kleist,The Marquise of O,1808,liked,20s,Fiction,Literature
Larson,Gary Larson,The Far Side Gallery,1984,liked,teens,Fiction,Comics
Lee,Harper Lee,To Kill a Mockingbird,1960,liked,teens,Fiction,Literature
Levi,Primo Levi,Survival in Auschwitz,1947,indifferent or forgotten,20s,Non-Fiction,"Memoirs, History"
Lewis,C.S. Lewis,The Chronicles of Narnia,1956,liked,childhood,Fiction,Fantasy
Lightman,Alan Lightman,Einstein's Dreams,1992,liked,teens,Fiction,Science-Fiction
MacDonald,George MacDonald,The Princess and the Goblin,1872,indifferent or forgotten,20s,Fiction,Fantasy
Martel,Yann Martel,Life of Pi,2001,loved,teens,Fiction,Literature
McCarthy,Cormac McCarthy,The Road,2006,loved,20s,Fiction,Literature
McGrayne,Sharon Bertsch McGrayne,The Theory That Would Not Die,2011,disliked,20s,Non-Fiction,"History, Science, Statistics"
McMurtry,Larry McMurtry,Lonesome Dove,1985,loved,20s,Fiction,"Westerns, Literature"
Medina,John Medina,Brain Rules,2008,liked,20s,Non-Fiction,"Science, Psychology"
Miller,Chanel Miller,Know My Name,2019,loved,20s,Non-Fiction,Memoirs
Miller,Arthur  Miller,The Crucible,1953,indifferent or forgotten,teens,Fiction,Plays
Millhauser,Steven Millhauser,Martin Dressler,1996,liked,teens,Fiction,Literature
Morrison,Toni Morrison,Beloved,1987,liked,20s,Fiction,Literature
Moss,Stephen    Moss,The Rookie,n,liked,20s,Non-Fiction,Memoirs
Murakami,Haruki Murakami,Sputnik Sweetheart,1999,disliked,20s,Fiction,Literature
Márquez,Gabriel García Márquez,One Hundred Years of Solitude,1967,liked,20s,Fiction,Literature
Nicholson,William Nicholson,The Wind on Fire Trilogy,2002,liked,childhood,Fiction,Fantasy
Nielsen,Michael Nielsen,Reinventing Discovery,2011,loved,20s,Non-Fiction,"Philosophy, Science"
Oakley,Barbara Oakley,A Mind for Numbers,2014,liked,20s,Non-Fiction,"Learning, Self-Help"
Olson,Randy Olson,"Houston, We Have a Narrative",2015,liked,20s,Non-Fiction,"Writing, Self-Help, Science"
Oppel,Kenneth Oppel,Silverwing,1997,liked,childhood,Fiction,Literature
Orwell,George Orwell,Animal Farm,1945,liked,20s,Fiction,Literature
Orwell,George Orwell,1984,1949,liked,20s,Fiction,Literature
Palahniuk,Chuck Palahniuk,Fight Club,1996,liked,teens,Fiction,Literature
Paolini,Christopher Paolini,The Inheritance Cycle 1-3,2002,liked,teens,Fiction,Fantasy
Paulsen,Gary Paulsen,Brian's Saga 1-2,1996,liked,teens,Fiction,Literature
Pinker,Steven Pinker,How the Mind Works,1997,loved,20s,Non-Fiction,"Psychology, Science"
Pinker,Steven Pinker,The Better Angels of Our Nature,2010,liked,20s,Non-Fiction,History
Pinker,Steven Pinker,The Language Instinct,1994,loved,20s,Non-Fiction,"Psychology, Science"
Pinker,Steven Pinker,The Sense of Style,2014,loved,20s,Non-Fiction,"Writing, Self-Help"
Pullman,Philip Pullman,His Dark Materials,2000,loved,teens,Fiction,Fantasy
Ritchie,Stuart Ritchie,Intelligence,2015,liked,20s,Non-Fiction,"Psychology, Science"
Robbins,Anthony Robbins,MONEY Master the Game,2014,liked,20s,Non-Fiction,"Self-Help, Personal Finance"
Rowling,J.K. Rowling,Harry Potter 1-7,2007,loved,childhood,Fiction,Fantasy
Rushdie,Salman Rushdie,The Satanic Verses,1988,liked,teens,Fiction,Literature
Sachar,Louis Sachar,Holes,1998,liked,childhood,Fiction,Literature
Saint-Exupéry,Antoine de Saint-Exupéry,The Little Prince,1943,liked,teens,Fiction,Literature
Salinger,J.D. Salinger,The Catcher in the Rye,1951,liked,teens,Fiction,Literature
Sapolsky,Robert M. Sapolsky,Behave,2017,disliked,20s,Non-Fiction,"Science, Psychology"
Schneier,Bruce Schneier,Data and Goliath,2015,liked,20s,Non-Fiction,"Philosophy, Science, Computer Science & Programming"
Shakespeare,William Shakespeare,Hamlet,1603,liked,teens,Fiction,Plays
Shakespeare,William Shakespeare,Romeo and Juliet,1595,liked,teens,Fiction,Plays
Shakespeare,William Shakespeare,A Midsummer Night's Dream,1595,liked,teens,Fiction,Plays
Shelley,Mary Wollstonecraft Shelley,Frankenstein,1818,liked,20s,Fiction,Literature
Silver,Nate Silver,The Signal and the Noise,2012,liked,20s,Non-Fiction,"Philosophy, Science, Statistics"
