creator_key,creator,title,media_type,publication_year,rating,period_of_my_life,tags,url
Emerson,Ralph Waldo Emerson,Self-Reliance and Other Essays,Book,1844,Indifferent,Teens,"{Non-Fiction},{Philosophy},{Essays}",
Ferrante,Elena Ferrante,My Brilliant Friend,Book,2011,Loved,In the past year,"{Fiction},{Literature}",
Ferrante,Elena Ferrante,The Story of a New Name,Book,2012,Loved,In the past year,"{Fiction},{Literature}",
Feynman,Richard P. Feynman,"Surely You're Joking, Mr. Feynman!",Book,1985,Liked,20s,"{Non-Fiction},{Memoirs}",
Findley,Timothy Findley,The Butterfly Plague,Book,1969,Liked,Teens,"{Fiction},{Literature}",
Finnegan,William Finnegan,Barbarian Days,Book,2015,Mixed feelings,In the past year,"{Non-Fiction},{Memoirs}",
Fitzgerald,F. Scott Fitzgerald,The Great Gatsby,Book,1925,Liked,20s,"{Fiction},{Literature}",
Forster,E.M. Forster,The Machine Stops,Book,1909,Loved,20s,"{Fiction},{Science-Fiction}",
Forster,E.M. Forster,A Room with a View,Book,1908,Indifferent,20s,"{Fiction},{Literature}",
Frank,Anne Frank,The Diary of a Young Girl,Book,1947,Loved,20s,"{Non-Fiction},{Memoirs}",
Franklin,Benjamin Franklin,The Autobiography of Benjamin Franklin,Book,1791,Liked,Teens,"{Non-Fiction},{Memoirs},{Biographies}",
Gaiman,Neil Gaiman,Coraline,Book,2002,Indifferent,20s,"{Fiction},{Fantasy}",
Gaiman,Neil Gaiman,The Ocean at the End of the Lane,Book,2013,Loved,20s,"{Fiction},{Fantasy}",
Gaiman,Neil Gaiman,Stardust,Book,1997,Liked,20s,"{Fiction},{Fantasy}",
Gibson & Sterling,William Gibson & Bruce Sterling,The Difference Engine,Book,1990,Loved,20s,"{Fiction},{Science-Fiction}",
Gilbert,Daniel Todd Gilbert,Stumbling on Happiness,Book,2006,Liked,20s,"{Non-Fiction},{Psychology}",
Gladwell,Malcolm Gladwell,Outliers,Book,2008,Liked,20s,"{Non-Fiction},{Science}",
Gleick,James Gleick,Chaos,Book,1987,Indifferent,20s,"{Non-Fiction},{History},{Science}",
Gleick,James Gleick,Isaac Newton,Book,2003,Loved,20s,"{Non-Fiction},{Biographies},{Science}",
Gleick,James Gleick,The Information,Book,2011,Loved,20s,"{Non-Fiction},{History},{Science}",
Golding,William Golding,Lord of the Flies,Book,1954,Liked,Teens,"{Non-Fiction},{Literature}",
Goldstein,Rebecca Goldstein,The Mind-Body Problem,Book,1983,Disliked,20s,"{Fiction},{Literature}",
Goleman & Davidson,Daniel Goleman & Richard Davidson,Altered Traits,Book,2017,Mixed feelings,20s,"{Non-Fiction},{Psychology},{Science}",/goleman-and-davidson-altered-traits/
Gopen,George D. Gopen,The Sense of Structure,Book,2004,Liked,20s,"{Non-Fiction},{Writing}",
Gowdy,Barbara Gowdy,Disneyland,Book,1989,Loved,20s,"{Fiction},{Literature},{Short Stories}",
